date,actuals.cases,actuals.deaths,metrics.caseDensity,metrics.testPositivityRatio,cdcTransmissionLevel,riskLevels.caseDensity,riskLevels.overall,metrics.vaccinationsCompletedRatio,metrics.vaccinationsInitiatedRatio
2020-05-06,1225177.0,72757.0,17882.4,0.07816672967863894,0.4021098355569345,0.16205398696866274,0.21160409556313994,0.05244152595372108,0.1170569105691057
2020-05-07,1252798.0,74814.0,18028.7,0.07598449905482042,0.3944047988416589,0.1630623642569035,0.20913744958113561,0.05244152595372108,0.1170569105691057
2020-05-08,1280293.0,76512.0,18154.6,0.07371001890359168,0.388044265177371,0.16296928327645052,0.207958423828731,0.05244152595372108,0.1170569105691057
2020-05-09,1305051.0,78080.0,17347.2,0.0719077504725898,0.38419174681973317,0.160859447719516,0.20653118212845178,0.05244152595372108,0.1170569105691057
2020-05-10,1324726.0,79069.0,16925.7,0.07102684310018904,0.385329403247492,0.15950977350294757,0.20513496742165688,0.05244152595372108,0.1170569105691057
2020-05-11,1344262.0,80165.0,16430.9,0.06948884688090737,0.37765022236011997,0.1580049643189575,0.20286999689730065,0.05244152595372108,0.1170569105691057
2020-05-12,1366325.0,81780.0,16506.6,0.06685217391304349,0.3684714034543386,0.15693453304374808,0.20015513496742166,0.05244152595372108,0.1170569105691057
2020-05-13,1387103.0,83613.0,16386.2,0.06431984877126654,0.3640500568828214,0.15761712690040336,0.20044989140552283,0.05244152595372108,0.1170569105691057
2020-05-14,1414077.0,85440.0,16080.3,0.0628601134215501,0.3578705140138587,0.15726031647533353,0.19998448650325787,0.05244152595372108,0.1170569105691057
2020-05-15,1439724.0,87104.0,15594.5,0.062301323251417774,0.3545351122142931,0.15435929258454859,0.19514427551970215,0.05244152595372108,0.1170569105691057
2020-05-16,1463152.0,88379.0,15562.2,0.06110586011342155,0.34737304788499324,0.1542506981073534,0.1925535215637605,0.05244152595372108,0.1170569105691057
2020-05-17,1481390.0,89223.0,15400.4,0.0604241965973535,0.34750232702451134,0.15336642879304996,0.1923363326093702,0.05244152595372108,0.1170569105691057
2020-05-18,1503321.0,89992.0,15531.4,0.060109640831758036,0.3499327748474506,0.15390940117902577,0.19370152032268076,0.05244152595372108,0.1170569105691057
2020-05-19,1524279.0,91483.0,15544.9,0.06064801512287334,0.355336642879305,0.1551970214086255,0.19477195159789015,0.05244152595372108,0.1170569105691057
2020-05-20,1547577.0,93044.0,15740.1,0.06051379962192817,0.36084393422277383,0.15657772261867825,0.19537697797083464,0.05244152595372108,0.1170569105691057
2020-05-21,1573044.0,94395.0,15683.8,0.06007410207939508,0.35991312441824386,0.1560192367359603,0.19443065466956255,0.05244152595372108,0.1170569105691057
2020-05-22,1596711.0,95695.0,15908.1,0.05960567107750473,0.36187816733891814,0.15713620850139623,0.19609059882097424,0.05244152595372108,0.1170569105691057
2020-05-23,1618266.0,96765.0,16079.1,0.059917202268431,0.3616196090598821,0.1596338814768849,0.19888302823456408,0.05244152595372108,0.1170569105691057
2020-05-24,1638751.0,97365.0,16591.1,0.05977315689981096,0.3654462715896163,0.1629847967731927,0.2015823766677009,0.05244152595372108,0.1170569105691057
2020-05-25,1658381.0,97872.0,16773.0,0.05918449905482042,0.36340366118523115,0.16251939187092773,0.2009152963077878,0.05244152595372108,0.1170569105691057
2020-05-26,1677682.0,98625.0,17006.2,0.05845255198487713,0.36273140965973727,0.16264349984486504,0.20125659323611544,0.05244152595372108,0.1170569105691057
2020-05-27,1696617.0,100275.0,16777.2,0.058221172022684314,0.3617230323714965,0.16078188023580517,0.19955010859447722,0.05244152595372108,0.1170569105691057
2020-05-28,1719076.0,101504.0,16616.1,0.058057844990548196,0.35807736063708756,0.15943220601923674,0.1978281104560968,0.05244152595372108,0.1170569105691057
2020-05-29,1743852.0,102708.0,16777.6,0.05705519848771266,0.35331988830282346,0.16042506981073537,0.2,0.05244152595372108,0.1170569105691057
2020-05-30,1766960.0,103657.0,16798.3,0.05646351606805293,0.35192367359602855,0.15860999069190196,0.19865032578343159,0.05244152595372108,0.1170569105691057
2020-05-31,1787485.0,104278.0,17143.1,0.056330056710775046,0.3460544006619092,0.157865342848278,0.1972075705864102,0.05244152595372108,0.1170569105691057
2020-06-01,1809623.0,105020.0,17510.2,0.05612551984877127,0.34677836384321026,0.1583152342538008,0.19750232702451134,0.05244152595372108,0.1170569105691057
2020-06-02,1829993.0,106065.0,17713.0,0.055285066162570895,0.3498810631916434,0.15943220601923674,0.19989140552280485,0.05244152595372108,0.1170569105691057
2020-06-03,1850192.0,107058.0,17810.0,0.054465406427221176,0.3503464680939084,0.1615730685696556,0.20322680732237047,0.05244152595372108,0.1170569105691057
2020-06-04,1871881.0,108080.0,18439.9,0.05277315689981097,0.35238907849829354,0.16318647223084085,0.20432826559106423,0.05244152595372108,0.1170569105691057
2020-06-05,1900601.0,109208.0,18339.9,0.05292854442344046,0.3502171889543903,0.16456717344089358,0.2063295066708036,0.05244152595372108,0.1170569105691057
2020-06-06,1922973.0,109968.0,18259.2,0.05343251417769376,0.34995863067535427,0.16504809183990074,0.20527458889233635,0.05244152595372108,0.1170569105691057
2020-06-07,1941397.0,110371.0,17607.4,0.053621172022684314,0.3494932257730893,0.16559106422587652,0.2066552901023891,0.05244152595372108,0.1170569105691057
2020-06-08,1959752.0,111011.0,17132.2,0.054044990548204164,0.3493898024614748,0.16396214706794912,0.2046075085324232,0.05244152595372108,0.1170569105691057
2020-06-09,1978564.0,112032.0,16703.2,0.053928922495274104,0.3531388975074982,0.16523425380080672,0.20640707415451442,0.05244152595372108,0.1170569105691057
2020-06-10,1999451.0,112939.0,16738.9,0.05458260869565218,0.3541989864515461,0.16608749612162585,0.20915296307787776,0.05244152595372108,0.1170569105691057
2020-06-11,2022554.0,113815.0,16958.3,0.056288468809073726,0.3590340262695212,0.16639776605646914,0.2113093391250388,0.05244152595372108,0.1170569105691057
2020-06-12,2047982.0,114591.0,17377.4,0.05736294896030245,0.36578239735236323,0.1674061433447099,0.2138845795842383,0.05244152595372108,0.1170569105691057
2020-06-13,2073024.0,115295.0,18214.1,0.05835727788279773,0.3654204157617127,0.16999689730065157,0.21706484641638227,0.05244152595372108,0.1170569105691057
2020-06-14,2091697.0,115621.0,18626.2,0.05888241965973535,0.36642879304995346,0.17109835556934536,0.21936084393422278,0.05244152595372108,0.1170569105691057
2020-06-15,2112221.0,116055.0,18877.6,0.05969073724007561,0.3692470782914469,0.1717964629227428,0.2193453304374806,0.05244152595372108,0.1170569105691057
2020-06-16,2137056.0,116794.0,19177.9,0.06140869565217391,0.37648671010445756,0.17393732547316165,0.22153273347812596,0.05244152595372108,0.1170569105691057
