date,actuals.cases,actuals.deaths,metrics.deathDensity,metrics.caseDensity,metrics.testPositivityRatio,cdcTransmissionLevel,riskLevels.caseDensity,riskLevels.overall,metrics.vaccinationsCompletedRatio,metrics.vaccinationsInitiatedRatio
2021-02-14,27382871.0,481458.0,5.194610802533596,83870.6,0.07883596011579286,0.8716894268570247,0.4356041795985931,0.44042520173805094,0.04871914893617021,0.11989296235679216
2021-02-15,27437852.0,482389.0,5.201138463718743,82876.4,0.07733515599871342,0.864551003517484,0.428946823918891,0.4339075108628182,0.0493531914893617,0.12093617021276595
2021-02-16,27502311.0,484078.0,5.218517503845271,79657.3,0.07649211965262141,0.8571280777984688,0.416651148355059,0.4221653217463273,0.05029230769230769,0.12204779050736497
2021-02-17,27574302.0,486533.0,5.241695211899577,74880.7,0.07742746863943391,0.8451789778605421,0.39987068073660254,0.40752638112973316,0.051613093289689035,0.12344582651391163
2021-02-18,27642795.0,489216.0,5.26726057146248,70757.0,0.07770151174010936,0.8274363749224084,0.3837264638940617,0.39281502172563626,0.053810147299509,0.12556857610474634
2021-02-19,27720328.0,491737.0,5.29307758964654,66498.8,0.07766806046960438,0.8175822470515208,0.3732309124767226,0.3844661700806952,0.05599672667757774,0.12757152209492634
2021-02-20,27788487.0,493565.0,5.312502692068906,63341.4,0.07778899967835316,0.8124870680736603,0.36630974549968964,0.37899855162425,0.06074631751227497,0.13183142389525368
2021-02-21,27843312.0,494762.0,5.322379195222213,60572.5,0.07833161788356384,0.8071849782743638,0.3619025450031037,0.376282847092903,0.06285891980360066,0.13335613747954175
2021-02-22,27901114.0,496112.0,5.3358050743214065,58601.5,0.07732840141524605,0.80379681357335,0.3587264638940617,0.37339126836333547,0.06401211129296236,0.13428936170212766
2021-02-23,27971002.0,498400.0,5.362082956916267,57937.6,0.0742537793502734,0.8020380715911442,0.3597817090833851,0.3719739292364991,0.06573944353518822,0.1356821603927987
2021-02-24,28045772.0,501714.0,5.3870087439089875,57795.6,0.07099228047603731,0.8019863438857853,0.3624663769915167,0.37196358369542726,0.06813158756137479,0.13769001636661213
2021-02-25,28124906.0,504236.0,5.413982366918554,57823.0,0.06775297523319396,0.803331264225119,0.36813573349886203,0.37523794744465133,0.07156464811783961,0.14116137479541735
2021-02-26,28197914.0,506377.0,5.4388734081086865,57388.1,0.06522064972660019,0.7977188081936686,0.3677219118559901,0.37400682805710744,0.07515286415711948,0.1449757774140753
2021-02-27,28264261.0,507929.0,5.457254150567512,56577.5,0.06363364425860404,0.792364990689013,0.3624146492861577,0.3687150837988827,0.07820785597381343,0.14841080196399345
2021-02-28,28313922.0,508979.0,5.465043263849672,55917.9,0.06224027018333869,0.7885630043451273,0.3603817504655494,0.36630974549968964,0.08074108019639935,0.1509378068739771
2021-03-01,28369860.0,510442.0,5.4802897831034185,55419.4,0.06108105500160824,0.7835712807779847,0.35858162631905655,0.36337678460583495,0.081630441898527,0.15217610474631751
2021-03-02,28426138.0,511762.0,5.492493107021953,53878.5,0.059638790607912516,0.77407924684461,0.35242085661080075,0.3589540657976413,0.0855227495908347,0.15673747954173486
2021-03-03,28494982.0,514043.0,5.522734693391107,52444.6,0.0570633644258604,0.7610697289468239,0.34619801365611425,0.3526536312849162,0.08769296235679214,0.15909263502454993
2021-03-04,28561400.0,515954.0,5.538545253561573,50480.4,0.05633869411386298,0.7480343471963583,0.33872853300227607,0.34512207738464723,0.0905342062193126,0.1623279869067103
2021-03-05,28626817.0,518390.0,5.56221596700805,49003.1,0.055347378578321,0.7360852472584316,0.3322160148975792,0.33867163252638116,0.09382716857610475,0.16665008183306054
2021-03-06,28682137.0,519796.0,5.5780099216530985,47442.7,0.05434995175297523,0.7294899648251603,0.3267380509000621,0.33400062073246434,0.09681407528641571,0.1702252045826514
2021-03-07,28720536.0,520417.0,5.584058436249603,46317.0,0.054038597619813444,0.7228170908338506,0.32130664183736807,0.32915890751086285,0.09895319148936171,0.17267364975450084
2021-03-08,28798148.0,521204.0,5.591031019661719,45226.6,0.05279768414281119,0.7151096627353611,0.318187461204221,0.3256517690875233,0.10003240589198036,0.17425270049099836
2021-03-09,28852782.0,523051.0,5.613937227118773,44495.6,0.05247700225152783,0.7056434926546659,0.31627870887647425,0.32378439892406374,0.1019381342062193,0.17673158756137478
2021-03-10,28913221.0,524501.0,5.632081199111357,43854.5,0.052766806046960435,0.7022294641009725,0.31260086902545003,0.3212393958204014,0.10441374795417348,0.18022356792144026
2021-03-11,28973740.0,525981.0,5.64683715256672,43599.7,0.05235509810228369,0.6936685288640596,0.30791433891992553,0.3165114835505897,0.10776857610474631,0.18447594108019638
2021-03-12,29032645.0,527683.0,5.667312622437541,43582.8,0.05295529109038276,0.6922718808193669,0.30670908338506103,0.31588040554521,0.11238166939443536,0.19068510638297873
2021-03-13,29087391.0,530050.0,5.676148752119413,43276.5,0.05369347056931489,0.6886509414442376,0.3044847920546245,0.31481998758535074,0.1157417348608838,0.1952533551554828
2021-03-14,29124447.0,530547.0,5.680267519945804,43229.0,0.053582502412351234,0.6839437202565694,0.3031812538795779,0.31432340161390443,0.11786415711947626,0.19786775777414076
2021-03-15,29178938.0,531358.0,5.685200354516272,43412.4,0.053908973946606625,0.6834264432029795,0.3028088144009932,0.3141837368094352,0.11945728314238953,0.20027528641571196
2021-03-16,29232171.0,532594.0,5.699314982754582,43210.6,0.05347796719202316,0.6826246637699152,0.3017277053589903,0.31411131802193254,0.12156824877250409,0.20337315875613746
2021-03-17,29294478.0,533785.0,5.71196678009755,42817.8,0.0534773238983596,0.6752017380509001,0.29871198013656114,0.31039726877715706,0.12386382978723404,0.20693747954173486
2021-03-18,29355774.0,535342.0,5.732987215204265,42210.4,0.0537854615632036,0.6762362921580799,0.29647217049451685,0.30854541692530524,0.1263862520458265,0.21070081833060558
2021-03-19,29417903.0,536869.0,5.74843064561696,41991.8,0.05381183660340945,0.6682184978274364,0.29557210842127046,0.30739706186633564,0.12950212765957447,0.2159682487725041
2021-03-20,29472514.0,537605.0,5.756209357967983,42275.0,0.05334673528465744,0.667364990689013,0.2982878129526174,0.31005069315125183,0.13226055646481177,0.22020163666121112
2021-03-21,29510822.0,538107.0,5.759366678409138,42263.7,0.05332872306207784,0.6684512725015518,0.2989706186633561,0.31082660873163664,0.13456104746317513,0.22406186579378068
2021-03-22,29564468.0,538749.0,5.765636482639797,42358.2,0.053856545513026696,0.6699513759569626,0.2985567970204842,0.31100248292985727,0.13554566284779052,0.22553420621931258
2021-03-23,29620157.0,539695.0,5.77527619159401,42814.3,0.05399228047603731,0.6667701220773847,0.2993016759776536,0.3127508793709911,0.1371823240589198,0.22798657937806874
2021-03-24,29690525.0,541060.0,5.7906605811239995,43547.4,0.054737214538436794,0.6738050900062074,0.30256052141527,0.3160562797434306,0.13952504091653029,0.23135810147299507
2021-03-25,29757750.0,542300.0,5.805504024965708,43753.2,0.05540816982952718,0.6723049865507965,0.30286054210635216,0.3159269604800331,0.1432137479541735,0.2367250409165303
2021-03-26,29830944.0,543523.0,5.8168560595090435,44341.8,0.05570408491476359,0.6752276019035796,0.3045520380715912,0.3179598593006414,0.14783011456628478,0.24213518821603927
2021-03-27,29890754.0,544264.0,5.823551880962767,44769.2,0.0562190414924413,0.6779174425822471,0.30828677839851026,0.32175667287399135,0.15103076923076922,0.24538985270049102
2021-03-28,29935629.0,544712.0,5.830509465306801,45185.5,0.05686394339015761,0.681098696461825,0.30832816056279744,0.3221084212704325,0.15479050736497546,0.249131914893617
2021-03-29,30003071.0,545314.0,5.836234371338315,45754.6,0.05714409778063686,0.6801675977653632,0.30966273536105937,0.32384647217049456,0.15659018003273323,0.2511011456628478
2021-03-30,30065030.0,546238.0,5.8450716017584865,45839.2,0.058503055644901894,0.6809176494930684,0.3084988619904821,0.323417132216015,0.15883142389525368,0.2536926350245499
2021-03-31,30136277.0,547326.0,5.857616716142929,45650.0,0.05927211321968478,0.6773225739706187,0.30517794330643494,0.32132216014897585,0.16266612111292963,0.25732144026186576
2021-04-01,30211652.0,548246.0,5.865610495185781,46656.8,0.059739787713091026,0.672744672046348,0.30711255948686117,0.32217049451686325,0.16739672667757774,0.2620183306055647
2021-04-02,30278716.0,549141.0,5.873123954376287,46493.3,0.06041202959150852,0.6719687564659632,0.3076194909993793,0.32459652389819993,0.1716140752864157,0.26608772504091655
2021-04-03,30342682.0,549839.0,5.881648927278634,46476.9,0.06074075265358636,0.6700806952203601,0.30601075936271466,0.3222377405338299,0.17591194762684123,0.26972536824877247
2021-04-04,30379368.0,550058.0,5.883343078446678,46117.8,0.06087873914441942,0.6666925305193462,0.3049348230912477,0.3209083385061039,0.17963109656301146,0.27290343698854336
2021-04-05,30453340.0,550538.0,5.887059862674894,45743.3,0.06113187520102927,0.6650113800951789,0.3033985102420857,0.3198065383819574,0.18109165302782324,0.27428019639934537
2021-04-06,30514021.0,551422.0,5.896123674584258,45882.4,0.061526535863621744,0.6665632112559486,0.3035536933581627,0.3204738257810884,0.18367168576104745,0.27656661211129296
2021-04-07,30589567.0,553952.0,5.944647521581626,46245.3,0.06135091669347057,0.6682184978274364,0.3044692737430168,0.320903165735568,0.18732405891980358,0.2799351882160393
2021-04-08,30668028.0,554903.0,5.956647734192411,46660.7,0.06179189449983917,0.6705462445685909,0.3049503414028554,0.322594661700807,0.19209034369885433,0.284247790507365
